Marca de Tiempo,Uso de Memoria(%)
20:38:34,85.1
20:38:35,85.1
20:38:36,85.1
20:38:37,85.1
20:38:38,85.1
20:38:39,85.1
20:38:40,85.1
20:38:41,85.0
20:38:42,84.7
20:38:43,84.6
20:38:44,84.6
20:38:45,84.8
20:38:46,84.2
20:38:47,84.0
20:38:48,83.9
20:38:49,83.9
20:38:50,83.2
20:38:51,82.9
20:38:52,82.9
20:38:53,82.9
20:38:54,82.9
20:38:55,82.9
20:38:56,82.9
20:38:57,82.9
20:38:58,82.9
20:38:59,82.8
20:39:00,83.1
20:39:01,84.1
20:39:02,83.5
20:39:03,83.3
20:39:04,83.2
20:39:05,83.2
20:39:06,83.2
20:39:07,83.2
20:39:08,83.2
20:39:09,83.0
20:39:10,83.0
20:39:11,82.9
20:39:12,82.8
20:39:13,82.8
20:39:14,82.8
20:39:15,82.7
20:39:16,83.0
20:39:17,82.9
20:39:18,82.8
20:39:19,82.7
20:39:20,82.7
20:39:21,82.7
20:39:22,82.7
20:39:23,82.7
20:39:24,82.7
20:39:25,82.7
20:39:26,82.7
